symbol,atomic_number,crystal_structure,atomic_weight,outer_shell,orbitals,max_valence,melting_point,boiling_point,electronegativity,covalent_radius,ionic_radius,atomic_radius,atomic_volume,first_ionization_poetential,second_ionization_potential,third_ionization_potential,density,specific_heat,heat_of_vaporization,heat_of_fusion,electrical_conductivity,thermal_conductivity,modulus_of_elasticity,coefficient_of_thermal_expansion,lattice_param_1,lattice_param_2,lattice_param_3,period,atomic_mass,ionization_energy,electron_affinity,most_stable_oxidation_state,First_IP,specific_heat_capacity,group,orbitla,2nd_most_stable_oxidation_state,3rd_most_stable_oxidation_state,4th_most_stable_oxidation_state
H,1,Hexagonal,1.00794,1,1s1,1,-255.34,-252.87,2.2,0.32,1.54,0.79,14.4,13.5984,,,0.00008988,14.304,0.44936,0.05868,,0.001815,,,,,,1,1.0079,1312,72.8,,,,,,,,
He,2,Hexagonal,4.002602,2,1s2,0,-272.2,-268.934,0,0.93,,0.49,19.5,24.5874,54.416,,0.0001787,5.193,0.0845,,,0.00152,,,,,,1,4.0026,2372.3,-21,1,13.598,,1,s,,,
Li,3,Cubic: Body centered,6.941,1," [He] 2s1",1,180.54,1342,0.98,1.23,0.76,2.05,13.1,5.3917,76.638,122.451,0.53,3.6,145.92,3,1.08E+05,0.847,1.00E+04,4.60E-05,3.5101,,,2,6.941,520.2,59.8,0,24.587,,18,s,,,
Be,4,Hexagonal,9.012182,2," [He] 2s2",2,1287,2472,1.57,0.9,0.45,1.4,5,9.3226,18.211,153.893,1.848,1.82,292.4,12.2,3.13E+05,2,3.01E+05,1.13E-05,2.286,,3.584,2,9.0122,899.4,-240,1,5.392,3.582,1,s,,,
B,5,Rhombohedral,10.811,3," [He] 2s2 2p1",3,2079,4000,2.04,0.82,0.23,1.17,4.6,8.298,25.154,37.93,2.34,1.02,489.7,50.2,1.00E+06,0.27,4.41E+05,4.70E-06,8.8,,5.05,2,10.81,800.6,27,2,9.322,1.825,2,s,,,
C,6,Hexagonal,12.011,4," [He] 2s2 2p2",4,3825,4827,2.55,0.77,0.16,0.91,4.58,11.2603,24.383,47.887,2.62,0.71,355.8,,6.10E+02,1.29,7.00E+03,1.00E-06,2.4619,,6.708,2,12.011,1086.4,122.3,3,5.298,1.026,13,p,,,
N,7,Hexagonal,14.00674,5," [He] 2s2 2p3",5,-209.86,-195.8,3.04,0.75,1.71,0.75,17.3,14.5341,29.601,47.448,0.0012506,1.04,2.7928,0.3604,,0.0002598,,2.40E-04,,,,2,14.07,1402.3,-7,4,11.26,0.709,14,p,2,,
O,8,Cubic,15.9994,6," [He] 2s2 2p4",2,-218.4,-182.962,3.44,0.73,1.4,0.65,14,13.6181,35.117,54.934,0.001429,0.92,3.4099,0.22259,,0.0002674,,7.80E-04,,,,2,15.9994,1313.9,141.1,3,14.534,1.042,15,p,5,4,2
F,9,Cubic,18.9984032,7," [He] 2s2 2p5",1,-219.62,-188.14,3.98,0.72,1.33,0.57,12.6,17.4228,34.97,62.707,0.001696,0.82,3.2698,0.2552,,0.000279,,1.80E-03,,,,2,18.998,1681,328,2,13.618,0.92,16,p,,,
Ne,10,Cubic: Face centered,20.1797,8," [He] 2s2 2p6",0,-248.67,-246.048,0,0.71,,0.51,17.3,21.5645,40.962,63.45,0.0008999,0.904,1.7326,0.3317,,0.000493,,1.90E-03,,,,2,20.1797,2080.6,-29,1,17.422,0.824,17,p,,,
Na,11,Cubic: Body centered,22.989768,1," [Ne] 3s1",1,97.81,882.9,0.93,1.54,1.02,2.23,23.7,5.1391,47.286,71.641,0.971,1.23,96.96,2.598,2.10E+05,1.41,5.00E+03,7.10E-05,4.2908,,,3,22.9898,495.8,52.7,0,21.564,1.03,18,p,,,
Mg,12,Hexagonal,24.305,2," [Ne] 3s2",2,648.8,1090,1.31,1.36,0.72,1.72,13.97,7.6462,15.035,80.143,1.738,1.02,127.4,8.954,2.26E+05,1.56,4.44E+04,2.48E-05,3.2095,,5.2107,3,24.305,737.7,-230,1,5.139,1.23,1,s,,,
Al,13,Cubic: Face centered,26.981539,3," [Ne] 3s2 3p1",3,660.37,2519,1.5,1.18,0.54,1.82,10,5.9858,18.828,28.447,2.702,0.9,293.4,10.79,3.77E+05,2.37,7.05E+04,2.31E-05,4.0497,,,3,26.9815,577.6,45,2,7.646,1.02,2,s,,,
