name,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,0ASA_m2_cm3,0ASA_m2_g,AV_VF,AV_cm3_g,0AV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,FSR_overlap
1499489-acs.cgd.6b01265_1499490_clean,10.85017,3.77263,10.26663,0.884188,1701.53,1924.4,0,0,0.6458,0.730388,0,Cu,0," ",1
ABAVIJ_clean,4.45543,2.4972,4.40652,1.52493,0,0,312.052,204.633,0.3792,0.248667,0,Co,0," ",1
ABAVOP_clean,3.53642,2.44162,3.53007,1.56594,0,0,122.782,78.4079,0.3782,0.241516,0,Co,0," ",1
ABA1IO_clean,11.39486,4.3226,11.27409,0.949126,1428.73,1505.31,409.494,431.444,0.6636,0.69917,0,Mn,0," ",1
ABA1OU_clean,11.27344,4.5108,11.27344,0.979267,1463.42,1494.4,419.062,427.935,0.6638,0.677854,0,Co,0," ",1
ABEFUL_clean,4.93969,3.32948,4.93889,1.55108,418.49,269.806,0,0,0.4118,0.265493,0,Tb,0," ",1
ABEMIF_clean,11.25251,6.80253,11.25251,1.15199,1273.12,1105.15,476.471,413.607,0.6464,0.561117,0,Cu,1,Cu,1
ABESUX_clean,5.87931,4.42492,5.57015,3.74291,1747.69,466.934,0,0,0.5646,0.150845,0,U,1,U,1
ABETAE_clean,5.88295,4.42033,5.88295,3.69928,1821.75,492.461,0,0,0.572,0.154625,0,U,1,U,1
ABETI0_clean,9.47418,7.83744,9.45292,0.597233,2275.99,3810.89,0,0,0.7302,1.22264,0,Cu,0," ",1
ABEXEM_clean,4.82084,4.14331,4.80387,1.76082,968.791,550.193,3.54724,2.01454,0.494,0.280551,0,La,1,La,1
ABEXE0_clean,18.8079,13.71867,18.7996,0.674371,1650.25,2447.09,10.9626,16.2561,0.753,1.1166,0,In,0," ",1
ABEXIQ_clean,4.80529,4.06893,4.80529,1.7876,954.695,534.065,11.1491,6.2369,0.4776,0.267174,0,Ce,1,Ce,1
ABEXOW_clean,4.7727,4.04921,4.7549,1.81243,948.305,523.222,8.72645,4.81477,0.5026,0.277307,0,Pr,1,Pr,1
ABEXUC_clean,4.74458,4.0168,4.72731,1.84813,905.952,490.198,6.39745,3.46157,0.4864,0.263185,0,0d,1,0d,1
ABE1AJ_clean,4.73097,3.9715,4.71386,1.90641,913.695,479.276,5.68199,2.98047,0.4682,0.245593,0,Sm,1,Sm,1
ABE1E0_clean,4.70447,3.94356,4.68752,1.9293,894.021,463.392,4.63057,2.40013,0.4642,0.240606,0,Eu,1,Eu,1
ABE1IR_clean,4.69665,3.92183,4.69665,1.96962,879.845,446.707,3.91969,1.99007,0.464,0.235578,0,Gd,1,Gd,1
ABIXOZ_clean,6.22728,4.0515,6.20206,1.91751,1873.93,977.272,0,0,0.5866,0.305918,0,"Mo,Co",1,"Mo,Co",1
ABI1IV_clean,4.33176,3.82431,4.32093,1.34661,564.007,418.836,0,0,0.4458,0.331055,0,Co,0," ",1
ABULOB_clean,4.86958,4.16445,4.86236,1.31921,1184.81,898.121,0,0,0.5364,0.406607,0,Be,0," ",1
ABUXUT_clean,3.18589,2.99837,3.18589,1.65738,0,0,0,0,0.3604,0.217451,0,Cu,1,Cu,1
ac403674p_si_001_clean,8.50423,8.27985,8.50423,1.12072,1220.76,1089.26,0,0,0.5906,0.526983,0,Zn,0," ",1
ACAJI1_clean,4.94766,3.4178,4.77873,1.0939,822.742,752.116,0,0,0.5292,0.483772,0,Zn,0," ",1
ACAJIZ_clean,6.1865,5.74044,6.1865,1.30148,981.157,753.879,0,0,0.4824,0.370656,0,Cu,0," ",1
ACAJOF_clean,6.86398,6.10482,6.86398,1.21871,1121.27,920.046,0,0,0.513,0.420936,0,Cu,0," ",1
ACATAA_clean,7.11145,5.24842,7.11145,1.76261,1249.09,708.66,0,0,0.5274,0.299216,0,Cu,0," ",1
ACE0IF_clean,5.47565,4.2045,5.47328,1.31331,1262.56,961.352,0,0,0.5292,0.40295,0,Zn,0," ",1
ACIBI1_clean,5.10081,3.73403,5.09695,1.73515,912.456,525.866,0,0,0.4594,0.264761,0,Co,0," ",1
ACIBOE_clean,8.25776,7.03071,8.25776,1.10094,2063.01,1873.86,0,0,0.6554,0.595309,0,Zn,1,Zn,1
ACOCOM_clean,24.60642,13.0343,24.60642,0.349927,1537.41,4393.52,0,0,0.863,2.46623,0,Cu,1,Cu,1
ACOCUS_clean,24.38417,13.22222,24.38417,0.346494,1518.48,4382.42,0,0,0.8644,2.49471,0,Zn,1,Zn,1
ACODAZ_clean,23.29182,13.11646,23.29182,0.343144,1530.83,4461.21,0,0,0.8618,2.51148,0,Co,1,Co,1
ACODED_clean,6.0825,3.7902,6.00167,1.13147,1319.36,1166.06,0,0,0.5334,0.471421,0,Cu,0," ",1
ACODIH_clean,6.23041,4.82239,6.21963,1.21414,1699.85,1400.05,0,0,0.5654,0.465681,0,Zn,1,Zn,1
