name,mass,mass_per_metal,metal_3p_energy,oxygen_count,nitrogen_count,carbon_count,metal_3d_energy,metal_4s_energy,metal_7s_energy,metal_5f_energy,outer_shell_1,covalent_radius_1,thermal_conductivity_1,electron_affinity_1,3rd_most_stable_oxidation_state_1,outer_shell_2,lattice_param_2_2,period_2,electron_affinity_2
QUFGIH_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
YIZGOF_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
GOMREG_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
FALZOI_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
DARJUD_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
YIZGEV_clean,206.2094006,206.2094006,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
QUFGED_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
CAXTAY_clean,1524.1348632,127.0112386,-0.102545,48.0,0.0,36.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
WOJJOV_SL,264.0157572,132.0078786,-0.102545,10.0,0.0,4.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
SABWAU_SL,264.01575720000005,132.00787860000003,-0.102545,10.0,0.0,4.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
YOTXOW_clean,261.9998772,130.9999386,-0.102545,10.0,0.0,4.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
SABVOH_manual,264.0157572,132.0078786,-0.102545,10.0,0.0,4.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
IGUTEK_clean,209.0976626,209.0976626,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
GOMRAC_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
IVEQEG_clean,337.85212520000005,168.92606260000002,-0.102545,10.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
YOMVIG_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
SUSZIQ_clean,214.8741866,214.8741866,-0.102545,4.0,0.0,0.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
DOYBEA_clean,264.01575720000005,132.00787860000003,-0.102545,10.0,0.0,4.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
WAYMIU_manual,264.0157572,132.0078786,-0.102545,10.0,0.0,4.0,,,,,3.0,1.18,2.37,45.0,,3.0,,3.0,45.0
