name,f-chi-0-all,f-chi-3-all,f-S-3-all,mc-chi-0-all,mc-Z-1-all,mc-Z-2-all,mc-S-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-S-1-all,f-lig-chi-1,f-lig-Z-0,f-lig-Z-1,lc-chi-2-all,lc-chi-3-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-T-1-all,lc-T-3-all,lc-S-3-all,lc-alpha-2-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-3-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-3-all,func-T-2-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-T-2-all,D_func-T-3-all,D_func-S-1-all,D_func-S-3-all,D_func-alpha-2-all,mass,mass_per_metal,metal_3p_energy,oxygen_count,nitrogen_count,carbon_count,metal_3d_energy,metal_4s_energy,metal_7s_energy,metal_5f_energy,outer_shell_1,covalent_radius_1,thermal_conductivity_1,electron_affinity_1,3rd_most_stable_oxidation_state_1,outer_shell_2,lattice_param_2_2,period_2,electron_affinity_2
QAMVEH01_clean,550.581,4344.3072,414.17280000000017,1.2544000000000002,3712.0,8816.0,2.6569,-18.56,-8.579999999999998,312.0,912.0,44.0,7.200000000000002,663.7140000000003,1371.0,2916.0,20.605599999999995,17.543999999999997,48.0,112.0,96.0,3.0,6.0,1.1242,87.98,0.8900000000000002,0.8900000000000002,1.7800000000000005,2.0,2.0,4.0,-4.0,-0.04,-0.08,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.8670000000002,272.14450000000005,-41.938282,36.0,0.0,18.0,-32.412569,-9.432744,,,2.0,1.65,0.114,50.0,,2.0,,6.0,50.0
IKOVAH_clean,246.1979999999999,1655.8783999999996,199.5528,1.0561999999999998,2320.0,6503.5,3.3319999999999994,-14.199999999999998,-6.704999999999999,170.5,531.5,24.0,6.260000000000001,465.3894000000001,1662.0,3456.0,26.5224,17.543999999999993,88.0,144.0,96.0,3.5,6.0,1.1242,102.02500000000002,0.875,0.8900000000000005,1.780000000000001,-3.0,2.0,4.0,-4.0,-0.04,-0.08,-6.000000000000001,-12.000000000000002,9.245,22.7986,21.4785,160.0,200.0,14.5,277.25500000000005,432.4389670000001,-0.8449999999999998,0.4750000000000005,1.1250000000000002,13.0,11.0,24.5,0.0,1.0,0.415,0.66,5.099999999999997,814.4177999999999,407.2089,-0.693776,16.0,0.0,4.0,,-0.088815,,,1.0,2.03,1.024,48.36,,2.0,,6.0,50.0
CAYKEU_clean,266.4407999999999,2024.9215999999988,200.4288000000001,1.2768999999999997,2832.0,12272.0,3.0976,-13.86,-7.5,323.0,771.0,19.0,6.18,416.9394000000001,1588.0,3288.0,24.550133333333328,17.543999999999997,74.66666666666667,133.33333333333334,96.0,3.333333333333333,6.0,1.1242,97.34333333333336,0.8799999999999999,0.8900000000000003,1.7800000000000007,-1.3333333333333333,2.0,4.0,-4.0,-0.04,-0.08,-6.000000000000001,-12.000000000000002,10.107866666666665,26.01213333333333,20.167,128.0,165.33333333333334,11.333333333333332,223.52666666666664,328.21931133333334,-0.2766666666666664,0.6133333333333336,1.3433333333333335,6.0,8.0,17.666666666666668,-0.6666666666666666,-0.6666666666666666,0.18,0.4133333333333332,1.3999999999999986,999.95556,249.98889,-43.692548,16.0,0.0,4.0,-33.913996,-9.577447,,,2.0,1.65,0.125,50.0,,2.0,,6.0,50.0
BETFEN_clean,196.577,1070.5099999999998,96.81319999999997,1.2768999999999997,3658.0,5251.0,3.0976,-17.59,-7.1,265.0,626.0,44.0,8.200000000000001,434.112,1017.0,1992.0,19.5198,18.498428571428573,60.0,106.2857142857143,94.2857142857143,4.714285714285714,8.571428571428571,1.2144,111.89428571428572,0.5085714285714288,0.7628571428571432,1.625714285714286,1.1428571428571426,1.714285714285714,4.857142857142857,-2.857142857142857,-0.0342857142857143,0.0457142857142856,-5.142857142857145,-8.344888571428571,9.2416,29.944,44.38400000000001,49.0,182.0,20.0,284.21261400000003,401.18522800000005,0.9800000000000004,2.3100000000000005,3.640000000000001,2.0,9.0,16.0,-2.0,-2.0,-0.04,0.6799999999999998,-8.807110000000002,569.8937,284.94685,-43.692548,12.0,0.0,8.0,-33.913996,-9.577447,,,2.0,1.65,0.125,50.0,,2.0,,6.0,50.0
VUCTUK_clean,146.9096,724.3194,65.30020000000002,2.4025000000000003,1100.0,1900.0,1.9321,-10.395,-4.779999999999999,86.5,179.5,17.5,3.63,80.07051999999999,389.6,664.0,28.0532,15.617599999999998,84.0,152.0,68.0,3.5,1.5,0.6679499999999998,86.125,1.07,0.445,0.6199999999999999,-2.5,1.0,3.5,0.0,-0.02,0.18,-3.0000000000000004,0.3964449999999999,4.157425,10.0797,0.0,72.25,0.0,2.5,49.2369375,0.0,-0.6275000000000001,-0.0025,0.0,7.0,3.5,0.0,1.5,0.0,0.3375,0.0,5.1232225,363.861014,181.930507,-1.99145,9.0,0.0,4.0,-0.26654,-0.191136,,,2.0,1.17,0.0782,,2.0,2.0,,4.0,
POVZUX_clean,599.2579000000006,4307.873599999993,567.3879999999999,4.942034482758619,2768.689655172414,20384.275862068964,2.149448275862068,-6.148275862068968,-0.1889655172413794,64.55172413793103,968.9655172413792,15.10344827586207,3.8020689655172415,260.80133333333333,584.0,1330.6666666666667,31.28,13.778800000000002,91.0,125.0,59.49999999999999,10.0,8.5,0.853125,182.096421,1.1200000000000003,1.7500000000000002,0.7875,0.0,10.0,3.75,-0.75,0.55,0.175,0.4393350000000002,-1.478555,7.833699999999999,34.4052,27.7932,85.75,84.0,29.25,279.24392100000006,178.8283815,-0.4374999999999995,2.3625000000000003,2.2575,8.25,11.25,14.25,3.75,5.25,0.3849999999999999,0.8400000000000001,-4.435665,6015.7402,3007.8701,-50.08426,66.0,8.0,16.0,-39.528656,-10.844667,,,1.0,1.17,4.01,118.3,,2.0,,6.0,60.0
SONTAR_manual,209.582,1173.071,110.53459999999995,1.2768999999999997,4012.0,5251.0,3.0976,-19.01,-7.1,265.0,679.0,57.0,9.19,250.13199999999995,598.0,1108.0,18.91657777777777,19.266666666666666,66.66666666666667,103.11111111111111,97.33333333333331,5.666666666666667,10.666666666666666,1.2970222222222223,125.18,0.2966666666666667,0.6922222222222222,1.446666666666667,0.6666666666666666,1.5555555555555554,4.666666666666667,-2.4444444444444446,-0.0311111111111111,0.0733333333333333,-4.666666666666668,-6.635703333333335,9.2416,15.504,29.944,49.0,133.0,18.0,167.24,284.21261400000003,2.17,0.9800000000000004,2.3100000000000005,13.0,2.0,9.0,0.0,2.0,0.7399999999999999,0.3199999999999999,-7.800000000000001,593.9150999999999,296.95755,-43.692548,12.0,0.0,10.0,-33.913996,-9.577447,,,2.0,1.65,0.125,50.0,,2.0,,6.0,50.0
NUVXOT_clean,169.47399999999996,903.4073999999998,82.97040000000003,2.7224999999999984,900.0,2760.0,1.7161000000000004,-6.360000000000001,-5.480000000000003,118.0,290.0,5.0,2.2800000000000007,146.03420000000003,372.0,698.0,21.663199999999986,15.47466666666666,76.66666666666661,98.0,64.66666666666664,7.6666666666666705,7.333333333333331,0.9447333333333324,163.05507599999987,0.623333333333334,1.51,1.4799999999999989,1.333333333333334,6.0,6.0,-1.333333333333334,0.2133333333333331,0.2133333333333331,-5.271406666666672,-4.671406666666663,11.833599999999995,20.605599999999985,17.543999999999986,64.0,96.0,4.0,87.98,119.78,0.8900000000000005,0.8900000000000005,1.780000000000001,2.0,2.0,4.0,-2.0,-4.0,-0.04,-0.08,-6.000000000000001,452.3611000000001,150.78703333333337,-3.022363,4.0,6.0,9.0,-0.398944,-0.222725,,,2.0,1.25,1.16,,,2.0,,4.0,
OPIFUQ_clean,256.80119999999994,1524.6079999999986,188.9824,0.9025,2128.0,5244.0,3.4225,-17.430000000000003,-6.400000000000003,128.0,428.0,29.0,7.840000000000002,412.94700000000006,1695.0,2844.0,20.605599999999985,17.647199999999998,48.0,112.0,176.0,3.0,5.0,1.3066999999999995,87.98,0.8900000000000005,0.8900000000000005,1.75,2.0,2.0,-6.0,-3.0,-0.04,-0.33,-6.000000000000001,-20.100000000000016,6.656400000000001,26.316000000000013,43.16339999999997,256.0,560.0,24.0,876.8799999999997,950.7379339999994,0.0600000000000005,0.120000000000001,-1.2499999999999998,20.0,40.0,61.0,-4.0,0.0,0.5,1.9800000000000004,32.40000000000002,718.5554,179.63885,-9.301863,17.0,0.0,8.0,-4.813498,-1.455317,,,2.0,1.91,0.353,-168.0,,2.0,,5.0,-168.0
HAZGOF08_clean_h,184.7174,1164.9216,97.23600000000005,1.8496000000000004,1008.0,756.0,2.89,-12.48,-7.139999999999998,90.0,168.0,24.0,5.819999999999999,219.096,548.0,1008.0,20.605599999999992,17.543999999999993,48.0,112.0,96.0,3.0,6.0,1.1242,87.98,0.8900000000000003,0.8900000000000003,1.7800000000000007,2.0,2.0,4.0,-4.0,-0.04,-0.08,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.968824,176.984412,-1.233165,12.0,0.0,6.0,-0.13108,-0.156478,,,2.0,1.44,0.158,,,2.0,,4.0,
