name,linker1,linker2
IXUQUO_clean,IXUQUO_clean_linker_8.xyz,IXUQUO_clean_linker_9.xyz
NIRDAT_clean,NIRDAT_clean_linker_6.xyz,NIRDAT_clean_linker_6.xyz
CANYIB_clean,CANYIB_clean_linker_0.xyz,CANYIB_clean_linker_21.xyz
IRORUE_clean,IRORUE_clean_linker_1.xyz,IRORUE_clean_linker_0.xyz
ISIYOZ01_clean,ISIYOZ01_clean_linker_22.xyz,ISIYOZ01_clean_linker_22.xyz
HELDOT_clean,HELDOT_clean_linker_4.xyz,HELDOT_clean_linker_4.xyz
BOYCEY_auto,BOYCEY_auto_linker_0.xyz,BOYCEY_auto_linker_0.xyz
QUQFOY_clean,QUQFOY_clean_linker_0.xyz,QUQFOY_clean_linker_0.xyz
YOZBAS_clean,YOZBAS_clean_linker_50.xyz,YOZBAS_clean_linker_50.xyz
FOXHUX_clean,FOXHUX_clean_linker_0.xyz,FOXHUX_clean_linker_8.xyz
QARTAG_clean,QARTAG_clean_linker_2.xyz,QARTAG_clean_linker_3.xyz
AFUKIX_clean,AFUKIX_clean_linker_5.xyz,AFUKIX_clean_linker_4.xyz
LASWEJ_clean,LASWEJ_clean_linker_5.xyz,LASWEJ_clean_linker_3.xyz
IFUNUU_clean,IFUNUU_clean_linker_2.xyz,IFUNUU_clean_linker_2.xyz
IGIZEF_clean,IGIZEF_clean_linker_5.xyz,IGIZEF_clean_linker_4.xyz
QOXFIU_clean,QOXFIU_clean_linker_8.xyz,QOXFIU_clean_linker_13.xyz
FAGXOD_clean,FAGXOD_clean_linker_1.xyz,FAGXOD_clean_linker_1.xyz
REWSUJ_clean,REWSUJ_clean_linker_0.xyz,REWSUJ_clean_linker_3.xyz
JUGLAA_clean,JUGLAA_clean_linker_8.xyz,JUGLAA_clean_linker_1.xyz
TIGQOR_clean,TIGQOR_clean_linker_6.xyz,TIGQOR_clean_linker_6.xyz
HOFJIX_clean,HOFJIX_clean_linker_24.xyz,HOFJIX_clean_linker_18.xyz
HOBGIP_clean,HOBGIP_clean_linker_5.xyz,HOBGIP_clean_linker_3.xyz
GIFFEI_clean,GIFFEI_clean_linker_2.xyz,GIFFEI_clean_linker_2.xyz
YANBAR03_clean,YANBAR03_clean_linker_14.xyz,YANBAR03_clean_linker_14.xyz
BEPVAV_clean,BEPVAV_clean_linker_3.xyz,BEPVAV_clean_linker_0.xyz
WIDWOX_clean,WIDWOX_clean_linker_70.xyz,WIDWOX_clean_linker_70.xyz
KUNSUJ_clean,KUNSUJ_clean_linker_9.xyz,KUNSUJ_clean_linker_9.xyz
PUGSOB_clean,PUGSOB_clean_linker_8.xyz,PUGSOB_clean_linker_2.xyz
RAHNOF_clean,RAHNOF_clean_linker_6.xyz,RAHNOF_clean_linker_6.xyz
VIMRAM_clean,VIMRAM_clean_linker_0.xyz,VIMRAM_clean_linker_0.xyz
AVELUJ_clean,AVELUJ_clean_linker_14.xyz,AVELUJ_clean_linker_15.xyz
DARJUD_clean,DARJUD_clean_linker_14.xyz,DARJUD_clean_linker_14.xyz
MIFTIG_clean,MIFTIG_clean_linker_26.xyz,MIFTIG_clean_linker_26.xyz
DARVAW_clean,DARVAW_clean_linker_3.xyz,DARVAW_clean_linker_5.xyz
HISJIE_clean,HISJIE_clean_linker_5.xyz,HISJIE_clean_linker_5.xyz
WAXJAJ01_clean,WAXJAJ01_clean_linker_18.xyz,WAXJAJ01_clean_linker_18.xyz
JIZJAF_clean,JIZJAF_clean_linker_2.xyz,JIZJAF_clean_linker_3.xyz
BELTUJ_clean,BELTUJ_clean_linker_4.xyz,BELTUJ_clean_linker_4.xyz
HUZLIY_clean,HUZLIY_clean_linker_9.xyz,HUZLIY_clean_linker_9.xyz
PEPBAO_clean,PEPBAO_clean_linker_11.xyz,PEPBAO_clean_linker_6.xyz
BAWROI_clean,BAWROI_clean_linker_16.xyz,BAWROI_clean_linker_11.xyz
JUKNUA_clean,JUKNUA_clean_linker_1.xyz,JUKNUA_clean_linker_0.xyz
QODHUO01_clean,QODHUO01_clean_linker_7.xyz,QODHUO01_clean_linker_7.xyz
ABAYIO_clean,ABAYIO_clean_linker_0.xyz,ABAYIO_clean_linker_0.xyz
ZOXTOX_clean,ZOXTOX_clean_linker_1.xyz,ZOXTOX_clean_linker_0.xyz
GARLET_clean,GARLET_clean_linker_3.xyz,GARLET_clean_linker_3.xyz
XUCSOF_clean,XUCSOF_clean_linker_11.xyz,XUCSOF_clean_linker_11.xyz
IXURID_clean,IXURID_clean_linker_5.xyz,IXURID_clean_linker_4.xyz
JOCWIJ_clean,JOCWIJ_clean_linker_2.xyz,JOCWIJ_clean_linker_2.xyz
FIJDIM03_clean,FIJDIM03_clean_linker_2.xyz,FIJDIM03_clean_linker_2.xyz
SIRZUQ_clean,SIRZUQ_clean_linker_3.xyz,SIRZUQ_clean_linker_3.xyz
ELERIX_clean,ELERIX_clean_linker_2.xyz,ELERIX_clean_linker_2.xyz
HOVGIK_clean,HOVGIK_clean_linker_3.xyz,HOVGIK_clean_linker_2.xyz
XOTSIK_clean,XOTSIK_clean_linker_14.xyz,XOTSIK_clean_linker_12.xyz
TAJXIO07_clean,TAJXIO07_clean_linker_3.xyz,TAJXIO07_clean_linker_2.xyz
TATYUL_clean,TATYUL_clean_linker_2.xyz,TATYUL_clean_linker_2.xyz
IBACAS_clean,IBACAS_clean_linker_11.xyz,IBACAS_clean_linker_2.xyz
UKUBOS_clean,UKUBOS_clean_linker_0.xyz,UKUBOS_clean_linker_0.xyz
XUCSAR_clean,XUCSAR_clean_linker_5.xyz,XUCSAR_clean_linker_3.xyz
HURFEH_clean,HURFEH_clean_linker_23.xyz,HURFEH_clean_linker_8.xyz
GOMREG_clean,GOMREG_clean_linker_8.xyz,GOMREG_clean_linker_8.xyz
ZIQJEQ_clean,ZIQJEQ_clean_linker_5.xyz,ZIQJEQ_clean_linker_5.xyz
FIRNUR_clean,FIRNUR_clean_linker_4.xyz,FIRNUR_clean_linker_2.xyz
COJGEO_clean,COJGEO_clean_linker_4.xyz,COJGEO_clean_linker_10.xyz
BOXYEU_clean,BOXYEU_clean_linker_10.xyz,BOXYEU_clean_linker_1.xyz
BAXFUD_clean,BAXFUD_clean_linker_5.xyz,BAXFUD_clean_linker_5.xyz
AWEZOS_clean,AWEZOS_clean_linker_6.xyz,AWEZOS_clean_linker_6.xyz
AVESUR_clean,AVESUR_clean_linker_3.xyz,AVESUR_clean_linker_3.xyz
FUWFOU_clean,FUWFOU_clean_linker_13.xyz,FUWFOU_clean_linker_13.xyz
AJUNOK_clean,AJUNOK_clean_linker_15.xyz,AJUNOK_clean_linker_8.xyz
BIBXUH_clean,BIBXUH_clean_linker_1.xyz,BIBXUH_clean_linker_1.xyz
FUSQUH_clean,FUSQUH_clean_linker_5.xyz,FUSQUH_clean_linker_4.xyz
FIHFAF_clean,FIHFAF_clean_linker_5.xyz,FIHFAF_clean_linker_4.xyz
GUFREF_clean,GUFREF_clean_linker_3.xyz,GUFREF_clean_linker_2.xyz
XOKHIP_clean,XOKHIP_clean_linker_0.xyz,XOKHIP_clean_linker_0.xyz
LUPYAX_clean,LUPYAX_clean_linker_2.xyz,LUPYAX_clean_linker_2.xyz
ZUZZEB_clean,ZUZZEB_clean_linker_19.xyz,ZUZZEB_clean_linker_19.xyz
TEWFUY_clean,TEWFUY_clean_linker_4.xyz,TEWFUY_clean_linker_5.xyz
