name,node1,node2
QUFGIH_clean,QUFGIH_clean_sbu_9.xyz,QUFGIH_clean_sbu_0.xyz
GOBSUM_clean,GOBSUM_clean_sbu_0.xyz,GOBSUM_clean_sbu_0.xyz
OCURAG_clean,OCURAG_clean_sbu_0.xyz,OCURAG_clean_sbu_0.xyz
VOCQAF_clean,VOCQAF_clean_sbu_0.xyz,VOCQAF_clean_sbu_0.xyz
JIZJEJ_clean,JIZJEJ_clean_sbu_0.xyz,JIZJEJ_clean_sbu_0.xyz
RIRDED_clean,RIRDED_clean_sbu_17.xyz,RIRDED_clean_sbu_17.xyz
HOZTOG_clean,HOZTOG_clean_sbu_3.xyz,HOZTOG_clean_sbu_3.xyz
OWUHOF_clean,OWUHOF_clean_sbu_3.xyz,OWUHOF_clean_sbu_3.xyz
LACBID_clean,LACBID_clean_sbu_9.xyz,LACBID_clean_sbu_9.xyz
TAZLIR_clean,TAZLIR_clean_sbu_5.xyz,TAZLIR_clean_sbu_5.xyz
YATDUV_clean,YATDUV_clean_sbu_4.xyz,YATDUV_clean_sbu_4.xyz
SOTXAC_clean,SOTXAC_clean_sbu_1.xyz,SOTXAC_clean_sbu_1.xyz
ZIJVOF01_clean,ZIJVOF01_clean_sbu_3.xyz,ZIJVOF01_clean_sbu_3.xyz
NAWDUN_clean,NAWDUN_clean_sbu_1.xyz,NAWDUN_clean_sbu_1.xyz
OMIMEE_clean,OMIMEE_clean_sbu_8.xyz,OMIMEE_clean_sbu_8.xyz
QEBKUF_SL,QEBKUF_SL_sbu_5.xyz,QEBKUF_SL_sbu_5.xyz
KUKPOX_clean,KUKPOX_clean_sbu_0.xyz,KUKPOX_clean_sbu_0.xyz
MIKJAR_clean,MIKJAR_clean_sbu_5.xyz,MIKJAR_clean_sbu_5.xyz
QEBGEL_clean,QEBGEL_clean_sbu_1.xyz,QEBGEL_clean_sbu_1.xyz
HOWPUF_clean,HOWPUF_clean_sbu_6.xyz,HOWPUF_clean_sbu_6.xyz
MIFTEC_clean,MIFTEC_clean_sbu_13.xyz,MIFTEC_clean_sbu_8.xyz
AFITUF_clean,AFITUF_clean_sbu_1.xyz,AFITUF_clean_sbu_1.xyz
CAXZOS_clean,CAXZOS_clean_sbu_7.xyz,CAXZOS_clean_sbu_7.xyz
PENZIS_clean,PENZIS_clean_sbu_9.xyz,PENZIS_clean_sbu_9.xyz
IGAGAA_clean,IGAGAA_clean_sbu_0.xyz,IGAGAA_clean_sbu_0.xyz
BUPVEP_clean,BUPVEP_clean_sbu_1.xyz,BUPVEP_clean_sbu_1.xyz
OKIPOO_clean,OKIPOO_clean_sbu_7.xyz,OKIPOO_clean_sbu_7.xyz
DARVAW_clean,DARVAW_clean_sbu_0.xyz,DARVAW_clean_sbu_0.xyz
FAGXIX_clean,FAGXIX_clean_sbu_0.xyz,FAGXIX_clean_sbu_0.xyz
LADQEP_clean,LADQEP_clean_sbu_0.xyz,LADQEP_clean_sbu_0.xyz
WOVDES_clean,WOVDES_clean_sbu_1.xyz,WOVDES_clean_sbu_1.xyz
LASWIN_clean,LASWIN_clean_sbu_1.xyz,LASWIN_clean_sbu_1.xyz
HAZNON_clean,HAZNON_clean_sbu_1.xyz,HAZNON_clean_sbu_1.xyz
BEPVOJ01_clean,BEPVOJ01_clean_sbu_0.xyz,BEPVOJ01_clean_sbu_0.xyz
JUJZEV_clean,JUJZEV_clean_sbu_1.xyz,JUJZEV_clean_sbu_1.xyz
WAQFAX_clean,WAQFAX_clean_sbu_0.xyz,WAQFAX_clean_sbu_0.xyz
OYERUH_clean,OYERUH_clean_sbu_8.xyz,OYERUH_clean_sbu_9.xyz
DOYHUW_clean,DOYHUW_clean_sbu_2.xyz,DOYHUW_clean_sbu_2.xyz
KEWZET_clean,KEWZET_clean_sbu_1.xyz,KEWZET_clean_sbu_1.xyz
FUNGAY_clean,FUNGAY_clean_sbu_0.xyz,FUNGAY_clean_sbu_0.xyz
WEMNAF_clean,WEMNAF_clean_sbu_1.xyz,WEMNAF_clean_sbu_1.xyz
MIFLIY_clean,MIFLIY_clean_sbu_1.xyz,MIFLIY_clean_sbu_1.xyz
TISGUY_clean,TISGUY_clean_sbu_5.xyz,TISGUY_clean_sbu_5.xyz
BUQWER_clean,BUQWER_clean_sbu_1.xyz,BUQWER_clean_sbu_1.xyz
TIXMET_clean,TIXMET_clean_sbu_4.xyz,TIXMET_clean_sbu_4.xyz
HUCXIO_clean,HUCXIO_clean_sbu_0.xyz,HUCXIO_clean_sbu_0.xyz
NAHFOU_clean,NAHFOU_clean_sbu_3.xyz,NAHFOU_clean_sbu_3.xyz
LUMZAW_clean,LUMZAW_clean_sbu_4.xyz,LUMZAW_clean_sbu_4.xyz
METYIU_clean,METYIU_clean_sbu_4.xyz,METYIU_clean_sbu_4.xyz
TAJXIO03_clean,TAJXIO03_clean_sbu_1.xyz,TAJXIO03_clean_sbu_1.xyz
GAJZAU_clean,GAJZAU_clean_sbu_0.xyz,GAJZAU_clean_sbu_0.xyz
BASTIA_clean,BASTIA_clean_sbu_4.xyz,BASTIA_clean_sbu_2.xyz
SIZPUN_clean,SIZPUN_clean_sbu_1.xyz,SIZPUN_clean_sbu_1.xyz
PUGSER_clean,PUGSER_clean_sbu_1.xyz,PUGSER_clean_sbu_1.xyz
QODHUO12_clean,QODHUO12_clean_sbu_7.xyz,QODHUO12_clean_sbu_7.xyz
HADQUA_clean,HADQUA_clean_sbu_10.xyz,HADQUA_clean_sbu_10.xyz
KIYMEM_clean,KIYMEM_clean_sbu_0.xyz,KIYMEM_clean_sbu_0.xyz
LIJNOJ_clean,LIJNOJ_clean_sbu_0.xyz,LIJNOJ_clean_sbu_0.xyz
DEGPEL_charged,DEGPEL_charged_sbu_4.xyz,DEGPEL_charged_sbu_4.xyz
QOSKAM_clean,QOSKAM_clean_sbu_10.xyz,QOSKAM_clean_sbu_10.xyz
QOSJOZ_clean,QOSJOZ_clean_sbu_1.xyz,QOSJOZ_clean_sbu_1.xyz
KADLOT_clean,KADLOT_clean_sbu_0.xyz,KADLOT_clean_sbu_0.xyz
MEJZOS_clean,MEJZOS_clean_sbu_0.xyz,MEJZOS_clean_sbu_0.xyz
LIWXIZ_clean,LIWXIZ_clean_sbu_2.xyz,LIWXIZ_clean_sbu_2.xyz
FAMQES_clean,FAMQES_clean_sbu_2.xyz,FAMQES_clean_sbu_2.xyz
CUYVOI_clean,CUYVOI_clean_sbu_2.xyz,CUYVOI_clean_sbu_2.xyz
RUYTIQ_clean,RUYTIQ_clean_sbu_0.xyz,RUYTIQ_clean_sbu_0.xyz
MEFZUU_manual,MEFZUU_manual_sbu_43.xyz,MEFZUU_manual_sbu_43.xyz
MEGBEH_manual,MEGBEH_manual_sbu_4.xyz,MEGBEH_manual_sbu_1.xyz
HEGPAL_clean,HEGPAL_clean_sbu_2.xyz,HEGPAL_clean_sbu_3.xyz
IJEXIF_clean,IJEXIF_clean_sbu_1.xyz,IJEXIF_clean_sbu_1.xyz
TETVIZ_clean,TETVIZ_clean_sbu_4.xyz,TETVIZ_clean_sbu_2.xyz
KOSKAG_clean,KOSKAG_clean_sbu_0.xyz,KOSKAG_clean_sbu_0.xyz
REJLEY_clean,REJLEY_clean_sbu_0.xyz,REJLEY_clean_sbu_0.xyz
SUVNEE_clean,SUVNEE_clean_sbu_7.xyz,SUVNEE_clean_sbu_7.xyz
DIVMUR_clean,DIVMUR_clean_sbu_3.xyz,DIVMUR_clean_sbu_3.xyz
REYPES_clean,REYPES_clean_sbu_0.xyz,REYPES_clean_sbu_0.xyz
PURRIE_clean,PURRIE_clean_sbu_9.xyz,PURRIE_clean_sbu_9.xyz
BUKRUW03_clean,BUKRUW03_clean_sbu_6.xyz,BUKRUW03_clean_sbu_6.xyz
FORQAF_clean,FORQAF_clean_sbu_0.xyz,FORQAF_clean_sbu_0.xyz
GUPNUC_clean,GUPNUC_clean_sbu_3.xyz,GUPNUC_clean_sbu_3.xyz
KOSJUZ_clean,KOSJUZ_clean_sbu_1.xyz,KOSJUZ_clean_sbu_1.xyz
AMOFAK_clean,AMOFAK_clean_sbu_0.xyz,AMOFAK_clean_sbu_0.xyz
YARKAF_clean,YARKAF_clean_sbu_5.xyz,YARKAF_clean_sbu_5.xyz
EYINOR_clean,EYINOR_clean_sbu_1.xyz,EYINOR_clean_sbu_1.xyz
LAFFEG02_clean,LAFFEG02_clean_sbu_0.xyz,LAFFEG02_clean_sbu_0.xyz
WOBHEB01_clean,WOBHEB01_clean_sbu_1.xyz,WOBHEB01_clean_sbu_1.xyz
RAYLAG_clean,RAYLAG_clean_sbu_5.xyz,RAYLAG_clean_sbu_5.xyz
DAWCIP_clean,DAWCIP_clean_sbu_1.xyz,DAWCIP_clean_sbu_1.xyz
KOJZEP_manual,KOJZEP_manual_sbu_0.xyz,KOJZEP_manual_sbu_0.xyz
NUDLIJ_clean,NUDLIJ_clean_sbu_0.xyz,NUDLIJ_clean_sbu_0.xyz
GOQSIQ_clean,GOQSIQ_clean_sbu_7.xyz,GOQSIQ_clean_sbu_7.xyz
PEKCUF_clean,PEKCUF_clean_sbu_2.xyz,PEKCUF_clean_sbu_2.xyz
IROROY_clean,IROROY_clean_sbu_2.xyz,IROROY_clean_sbu_2.xyz
XOVQAB_clean,XOVQAB_clean_sbu_1.xyz,XOVQAB_clean_sbu_1.xyz
VEJHEZ_clean,VEJHEZ_clean_sbu_9.xyz,VEJHEZ_clean_sbu_9.xyz
DOKHOB_clean,DOKHOB_clean_sbu_4.xyz,DOKHOB_clean_sbu_4.xyz
OKILUR_clean,OKILUR_clean_sbu_7.xyz,OKILUR_clean_sbu_7.xyz
DOQRUY_clean,DOQRUY_clean_sbu_3.xyz,DOQRUY_clean_sbu_3.xyz
YIZGOF_clean,YIZGOF_clean_sbu_22.xyz,YIZGOF_clean_sbu_22.xyz
SAXLEK_clean,SAXLEK_clean_sbu_0.xyz,SAXLEK_clean_sbu_0.xyz
HEGNUD_clean,HEGNUD_clean_sbu_5.xyz,HEGNUD_clean_sbu_2.xyz
EFILUA_clean,EFILUA_clean_sbu_3.xyz,EFILUA_clean_sbu_3.xyz
BINSAU_clean,BINSAU_clean_sbu_0.xyz,BINSAU_clean_sbu_0.xyz
EQETAX_clean,EQETAX_clean_sbu_1.xyz,EQETAX_clean_sbu_1.xyz
QUNVIG_clean,QUNVIG_clean_sbu_2.xyz,QUNVIG_clean_sbu_2.xyz
WISVEB_clean,WISVEB_clean_sbu_1.xyz,WISVEB_clean_sbu_1.xyz
COWMOR_clean,COWMOR_clean_sbu_0.xyz,COWMOR_clean_sbu_0.xyz
YONNAR_clean,YONNAR_clean_sbu_15.xyz,YONNAR_clean_sbu_15.xyz
LOLREL_clean,LOLREL_clean_sbu_0.xyz,LOLREL_clean_sbu_0.xyz
LUFNAC02_clean,LUFNAC02_clean_sbu_0.xyz,LUFNAC02_clean_sbu_0.xyz
KOSMAI_clean,KOSMAI_clean_sbu_1.xyz,KOSMAI_clean_sbu_1.xyz
QUDJIJ_clean,QUDJIJ_clean_sbu_2.xyz,QUDJIJ_clean_sbu_2.xyz
JUSHAI_clean,JUSHAI_clean_sbu_0.xyz,JUSHAI_clean_sbu_0.xyz
FUSMUC_clean,FUSMUC_clean_sbu_2.xyz,FUSMUC_clean_sbu_2.xyz
LEYLUX_clean,LEYLUX_clean_sbu_9.xyz,LEYLUX_clean_sbu_12.xyz
QODHUO_clean,QODHUO_clean_sbu_6.xyz,QODHUO_clean_sbu_6.xyz
ACAJOF_clean,ACAJOF_clean_sbu_1.xyz,ACAJOF_clean_sbu_1.xyz
WICQIJ_clean,WICQIJ_clean_sbu_2.xyz,WICQIJ_clean_sbu_2.xyz
DARJOX_clean,DARJOX_clean_sbu_12.xyz,DARJOX_clean_sbu_5.xyz
XUWSUD_clean,XUWSUD_clean_sbu_11.xyz,XUWSUD_clean_sbu_5.xyz
VEDFAN_clean,VEDFAN_clean_sbu_1.xyz,VEDFAN_clean_sbu_1.xyz
BELTUJ_clean,BELTUJ_clean_sbu_3.xyz,BELTUJ_clean_sbu_3.xyz
GEGGIK_clean,GEGGIK_clean_sbu_0.xyz,GEGGIK_clean_sbu_0.xyz
GOMREG_clean,GOMREG_clean_sbu_6.xyz,GOMREG_clean_sbu_10.xyz
BEYSEF_clean,BEYSEF_clean_sbu_2.xyz,BEYSEF_clean_sbu_2.xyz
WEHHIC_clean,WEHHIC_clean_sbu_0.xyz,WEHHIC_clean_sbu_0.xyz
RUWZIU_clean,RUWZIU_clean_sbu_1.xyz,RUWZIU_clean_sbu_1.xyz
FEXCES_clean,FEXCES_clean_sbu_1.xyz,FEXCES_clean_sbu_1.xyz
BUSQUC_clean,BUSQUC_clean_sbu_1.xyz,BUSQUC_clean_sbu_1.xyz
CUWNOZ_clean,CUWNOZ_clean_sbu_1.xyz,CUWNOZ_clean_sbu_1.xyz
ROLCEC19_clean,ROLCEC19_clean_sbu_3.xyz,ROLCEC19_clean_sbu_3.xyz
OGIKAR_clean,OGIKAR_clean_sbu_1.xyz,OGIKAR_clean_sbu_1.xyz
LUFQUZ02_clean,LUFQUZ02_clean_sbu_1.xyz,LUFQUZ02_clean_sbu_0.xyz
ERIWAF_clean,ERIWAF_clean_sbu_2.xyz,ERIWAF_clean_sbu_2.xyz
RANWAH_clean,RANWAH_clean_sbu_5.xyz,RANWAH_clean_sbu_5.xyz
QODSUZ_clean,QODSUZ_clean_sbu_5.xyz,QODSUZ_clean_sbu_5.xyz
FUSMOW_clean,FUSMOW_clean_sbu_3.xyz,FUSMOW_clean_sbu_3.xyz
BEXSII_clean,BEXSII_clean_sbu_3.xyz,BEXSII_clean_sbu_3.xyz
BOVHEB_clean,BOVHEB_clean_sbu_1.xyz,BOVHEB_clean_sbu_1.xyz
GITVEL_clean,GITVEL_clean_sbu_19.xyz,GITVEL_clean_sbu_19.xyz
EPEWAY_clean,EPEWAY_clean_sbu_0.xyz,EPEWAY_clean_sbu_0.xyz
DOPHOH_clean,DOPHOH_clean_sbu_4.xyz,DOPHOH_clean_sbu_4.xyz
EXEWIO_clean,EXEWIO_clean_sbu_4.xyz,EXEWIO_clean_sbu_4.xyz
EQAMUG_clean,EQAMUG_clean_sbu_3.xyz,EQAMUG_clean_sbu_3.xyz
